date,energy_index
2022-08-05,370.441
2022-08-06,368.949
2022-08-07,367.456
2022-08-08,365.964
2022-08-09,364.472
2022-08-10,362.98
2022-08-11,361.487
2022-08-12,359.995
2022-08-13,358.503
2022-08-14,357.011
2022-08-15,355.518
2022-08-16,354.026
2022-08-17,352.534
2022-08-18,351.042
2022-08-19,349.549
2022-08-20,348.057
2022-08-21,346.565
2022-08-22,345.073
2022-08-23,343.58
2022-08-24,342.088
2022-08-25,340.596
2022-08-26,339.104
2022-08-27,337.611
2022-08-28,336.119
2022-08-29,334.627
2022-08-30,333.135
2022-08-31,331.642
2022-09-01,330.15
2022-09-02,327.807
2022-09-03,325.464
2022-09-04,323.121
2022-09-05,320.778
2022-09-06,318.435
2022-09-07,316.092
2022-09-08,313.749
2022-09-09,311.406
2022-09-10,309.063
2022-09-11,306.72
2022-09-12,304.377
2022-09-13,302.034
2022-09-14,299.691
2022-09-15,297.348
2022-09-16,295.005
2022-09-17,292.662
2022-09-18,290.319
2022-09-19,287.976
2022-09-20,285.633
2022-09-21,283.29
2022-09-22,280.947
2022-09-23,278.604
2022-09-24,276.261
2022-09-25,273.918
2022-09-26,271.575
2022-09-27,269.232
2022-09-28,266.889
2022-09-29,264.546
2022-09-30,262.203
2022-10-01,259.86
2022-10-02,259.763
2022-10-03,259.666
2022-10-04,259.57
2022-10-05,259.473
2022-10-06,259.376
2022-10-07,259.279
2022-10-08,259.183
2022-10-09,259.086
2022-10-10,258.989
2022-10-11,258.892
2022-10-12,258.795
2022-10-13,258.699
2022-10-14,258.602
2022-10-15,258.505
2022-10-16,258.408
2022-10-17,258.312
2022-10-18,258.215
2022-10-19,258.118
2022-10-20,258.021
2022-10-21,257.925
2022-10-22,257.828
2022-10-23,257.731
2022-10-24,257.634
2022-10-25,257.537
2022-10-26,257.441
2022-10-27,257.344
2022-10-28,257.247
2022-10-29,257.15
2022-10-30,257.054
2022-10-31,256.957
2022-11-01,256.86
2022-11-02,256.915
2022-11-03,256.969
2022-11-04,257.024
2022-11-05,257.079
